,data_criacao,e_sobre_a_empresa,id,text,usuario
0,Sun Apr 21 18:54:40 +0000 2019,0,"1,12003815530082E+018","@soucrvasco boa, trocação sadia, sem judiação.",Leonardo ✠
1,Sun Apr 21 18:53:00 +0000 2019,0,"1,12003773793821E+018","@lucasvon sim mas quem teria de engrandecer  a rivalidade de forma sadia parece que ainda vive a fase de chamar a mãe quando é contrariado. o mal dessa onda dos digital influencer tipo @fabianobaldasso, o chorão..",Manoel Albuquerque
2,Sun Apr 21 18:50:26 +0000 2019,1,"1,12003709177632E+018",com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw,Kallel Calazani
3,Sun Apr 21 18:45:14 +0000 2019,0,"1,12003578370299E+018","tava planejando meu casamento e minha viagem no egito com os meus amigos, cara isso é tão bobo mas foi uma conversa tão sadia e engraçada que vou contar pro cês viu",Tonhao da lua
4,Sun Apr 21 18:27:14 +0000 2019,0,"1,12003125427404E+018",rt @stephieborges: se teve uma coisa que a vida dentro das editoras me ensinou é que a precisa se ver e se entender como mediador de leitur…,faca salame
5,Sun Apr 21 18:24:04 +0000 2019,0,"1,12003045781764E+018",@velberan faltou o sadia,"Érico com E de Eu, Giorno Giovanna, tenho um sonho"
6,Sun Apr 21 18:00:38 +0000 2019,0,"1,12002455750986E+018",@dnaraujo05 kkkkkkkkkkkkkkkkk brincadeira sadia,sou blindado por Deus
7,Sun Apr 21 17:42:16 +0000 2019,1,"1,12001993714425E+018","na minha infância um dos presentes que mais gostei foi um bone da sadia, do meu primeiro treinador na década de 90..
enchi o saco pra ganhar😂😂😂 https://t.co/taghbugv1s",Marcelo Guerreiro
8,Sun Apr 21 17:29:33 +0000 2019,0,"1,1200167342437E+018","@erikescossio @furiagg @sharksesportsgg @coachics @guerricsgo não é desrespeito é provocação, que todo jogo tem que ter uma provocação sadia e isso provoca hype no jogo, e se respeitar para você e dar uma de humildao você deveria rever seus conceitos de humildao",Leoran
9,Sun Apr 21 17:28:15 +0000 2019,1,"1,12001640871963E+018","review de comidas congeladas utilidade pública 

o yakisoba congelado da sadia é bom",gentilady
10,Sun Apr 21 17:08:58 +0000 2019,0,"1,12001155629572E+018",@araujolorenzo4 não acho mentiras e descontextualização uma provocação sadia.,Alexandre Giesbrecht
11,Sun Apr 21 17:03:59 +0000 2019,1,"1,12001030250926E+018",almoço de páscoa: lasanha da sadia.,Barbão ✡
12,Sun Apr 21 16:34:54 +0000 2019,0,"1,12000298131802E+018","5 lugares de concórdia q eu chorei 
senai
casa da lara
cinema depois de terminar namoro
ser sadia
casa do bruno https://t.co/idffehqsl8",Brian
13,Sun Apr 21 16:32:46 +0000 2019,0,"1,12000244690077E+018","@taliriapetrone bom dia, a condição de doente, faminto e prostituta, não é a condição sadia do ser humano, jesus curou os doentes, alimentou os famintos e perdoou a mulher adúltera, que se convencionou a chamar de prostituta. jesus anunciou a todos a boa nova, que temos um pai amoroso, que nos",Gilberto Andrade
14,Sun Apr 21 16:28:59 +0000 2019,1,"1,12000149371589E+018","lasanha pronta da sadia , de leii",Pakistano🇵🇰
15,Sun Apr 21 16:26:14 +0000 2019,0,"1,12000080160953E+018","@paulo_nunes8 @estebantavares toda a corneta sadia é valida mas os tem áudios que é fora da realidade nem em buteco se escuta tanta bobagens falta empatia da parte de vocês com o ser humano,não interessa a cor que torce,o bom disso tudo é que tem plataforma alternativas.",Veri1903
16,Sun Apr 21 16:21:50 +0000 2019,0,"1,11999969352056E+018","rt @marcooosjrcrf: @denunciaflatt ""crianças que se foram por negligência"".
fico me perguntando como uma pessoa consegue ser tão alienada, o…",Denuncia CRF
17,Sun Apr 21 16:21:13 +0000 2019,0,"1,11999953954346E+018",@hirai_momovick @nilmoretto a condição expressa um ideal normativo: o ideal é que você se ame para poder amar as outras pessoas para que seja uma relação sadia e sincera. se você não se ama fica o conselho da nilce: busque resolver este problema.,Darlley Brito
18,Sun Apr 21 16:18:59 +0000 2019,0,"1,11999897794298E+018","@jogosspfc não sei como conseguem levar isso a série. zero maldade. apenas provocação sadia, normal.",Lorenzo
19,Sun Apr 21 16:17:27 +0000 2019,0,"1,1199985912952E+018",rt @stephieborges: se teve uma coisa que a vida dentro das editoras me ensinou é que a precisa se ver e se entender como mediador de leitur…,Clarice França
20,Sun Apr 21 16:10:17 +0000 2019,0,"1,11999678847011E+018","@l_nogueiraaa @jeterrfilho_ nogueira,,,,,,, eu n sei amigo, mas foi sadia a play",zozoquinhacraft
21,Sun Apr 21 15:46:39 +0000 2019,0,"1,11999083876606E+018",rt @stephieborges: se teve uma coisa que a vida dentro das editoras me ensinou é que a precisa se ver e se entender como mediador de leitur…,Sofia Soter
22,Sun Apr 21 15:44:41 +0000 2019,0,"1,11999034528097E+018",e por um instante a vida sadia que levara até agora pareceu-lhe um modo moralmente louco de viver. - clarice lispector https://t.co/p989xwtobr,Felipe Schiavon
23,Sun Apr 21 15:40:54 +0000 2019,0,"1,11998939392053E+018","@rafacapoci isso!!! as bisha se acha o último cu da terra. o pior é que vc não pode ter nem uma conversa sadia por conta dessas cosias, pq sexualizam tudo. e ficam putas quando vc dá um fora.",OjerizaCompulsiva
24,Sun Apr 21 15:22:12 +0000 2019,0,"1,1199846864854E+018",rt @taianefmg: @yanziinhojr crlh que sadia logo cedo kkkkkkk,Insta: Yanziinhojr10
25,Sun Apr 21 15:17:10 +0000 2019,0,"1,11998342060675E+018",@yanziinhojr crlh que sadia logo cedo kkkkkkk,Azevedo Tai 💛
26,Sun Apr 21 15:08:17 +0000 2019,1,"1,11998118541182E+018",vo comer lasanha da sadia pois a preguiça de cozinhar algo eh grande,webcorna
27,Sun Apr 21 14:55:10 +0000 2019,1,"1,11997788310201E+018","aquele queijo que ja tava uma semana que tava  grudado
parecia até gorgonzola
e o presunto aquele presuntão não o presunto sadia não rapai
cês tão de sacanagem
vocês não corre
pa n falar outra coisa p eu não tomar processo por causa do cês",t-bag
28,Sun Apr 21 14:54:32 +0000 2019,1,"1,1199777230893E+018",maneiro que o plástico da lasanha @sadia nunca sai inteiro. quero ver a hora que eu pegar uma doença por comer lasanha com plástico derretido;,Thiago França
29,Sun Apr 21 14:50:31 +0000 2019,1,"1,1199767124298E+018",@nukkafan s de sadia kkkkk,Araujou
30,Sun Apr 21 14:39:56 +0000 2019,0,"1,11997405059033E+018",rt @sasa_crf: @butecodt provocações entre clubes e jogadores; comemoração de gol com a torcida (sem tomar cartão); e com os reservas dentro…,Sasá Cuéllar Balzary ⚽🎶📚
31,Sun Apr 21 14:39:34 +0000 2019,0,"1,1199739580849E+018","@butecodt provocações entre clubes e jogadores; comemoração de gol com a torcida (sem tomar cartão); e com os reservas dentro de campo; salários de jogadores dentro da realidade; cachorro invadindo campo; sem torcida única; sem violência, mas com rivalidade sadia",Sasá Cuéllar Balzary ⚽🎶📚
32,Sun Apr 21 14:26:11 +0000 2019,0,"1,1199705909438E+018","""em uma sociedade sadia e normal as pessoas podem discordar, podem até ter pontos de vista diametralmente op..."" — https://t.co/ijqmtcuyl6",Calebe Henrique
